symbol,supply_B,latest_price,vol_Short,var99.9_Short,var_amt_99.9_Short_B,vol_Mid,var99.9_Mid,vol_Long,var99.9_Long
WETH,9.17,2961.3926525379275,0.6655158053427154,0.10763919005388518,0.9870513727941271,0.7063935551377566,0.11425067522649913,0.7583421339669746,0.12265273405776599
USDT,6.62,0.9998948723968892,0.004456464141643647,0.0007207795620476398,0.004771560700755376,0.004985669257956122,0.0008063721349586816,0.006852417919180938,0.0011082963151439133
weETH,6.36,3209.9442359566697,0.6658848742008305,0.10769888250993612,0.6849648927631937,0.7051384466975035,0.11404767650752948,0.7583262734493441,0.1226501688094911
USDC,4.53,1.000115606129505,0.005447744078237606,0.0008811071885819093,0.003991415564276049,0.0033553541474358223,0.0005426882425248319,0.0037733647584286306,0.0006102964394150999
wstETH,4.19,3618.654120787658,0.6636547355000264,0.10733818435440733,0.44974699244496674,0.7025767131133048,0.11363334686137633,0.7626660891612288,0.12335208188873019
WBTC,3.88,87683.32985376962,0.44369979976130713,0.07176311469985873,0.27844088503545183,0.4253377738333466,0.06879327749574259,0.4222472052119512,0.06829341513253147
cbBTC,1.82,87792.26198835531,0.4541832736280851,0.07345869071309849,0.13369481709783926,0.425585534327667,0.06883334978061081,0.42474019832880155,0.06869662683352105
sUSDe,0.832,1.2094022847381307,0.007548614000724076,0.0012208976714669262,0.0010157868626604826,0.0162599416355872,0.0026298503114839797,0.023425765996472565,0.003788836355214222
USDe,0.802,0.999398175688518,0.02788692622294108,0.004510375452592075,0.0036173211129788448,0.020774279356538822,0.0033599902300433956,0.01662400560034349,0.0026887332861324823
RLUSD,0.599,0.9997666919060852,0.0037967603866004168,0.0006140804013390637,0.00036783416040209914,0.012002281997769862,0.0019412249907017416,0.043548882516860496,0.007043508815621209
